,PaperID,Title,FieldsOfStudy,FieldsOfStudy_s2,Journal
10,21f199b4f6313391af46dc137a40038500f3e0de,Examining the potential for gender bias in the prediction of symptom validity test failure by MMPI-2 symptom validity scale scores.,"['Medicine', 'Psychology']","[{'category': 'Medicine', 'source': 'external'}, {'category': 'Psychology', 'source': 'external'}, {'category': 'Psychology', 'source': 's2-fos-model'}]","{'name': 'Psychological assessment', 'pages': '\n          618-27\n        ', 'volume': '24 3'}"
11,e3b54928abbc61c33aefdf21a89c3ab49ee101cc,Socialisation and gender bias at the household level among school-attending girls in a tribal community of the Kalahandi district of Eastern India,,"[{'category': 'Economics', 'source': 's2-fos-model'}]",
12,e8a39a2a06b21e86243a7229f47b5f7f4ead2c1f,The Web Index: gender bias findings from the Rating Scale model,['Psychology'],"[{'category': 'Psychology', 'source': 'external'}, {'category': 'Psychology', 'source': 's2-fos-model'}]","{'name': '', 'volume': ''}"
13,ed0129b344cd37a13bf6361bb270949993ab77f3,Abstract 439: Gender Bias in Prehospital Chest Pain Management: Do female Paramedics Under-treat patients With Chest Pain?,['Medicine'],"[{'category': 'Medicine', 'source': 'external'}, {'category': 'Medicine', 'source': 's2-fos-model'}]","{'name': 'Hypertension', 'volume': '60'}"
14,eef46b8e89b5182fcd8e0168ba01bd6d3110f23e,"Gender Bias in the Language of Wedding Songs: A Case Study of Wedding Songs in Magumoni Division, Tharaka Nithi County",['Art'],"[{'category': 'Art', 'source': 'external'}, {'category': 'Sociology', 'source': 's2-fos-model'}]","{'name': '', 'volume': ''}"
15,5ef099b67b64067cdddf0a3b6d9ceb2e4730ae80,Gender Bias in Intrahousehold Allocation: Evidence from an Unintentional Experiment,['Economics'],"[{'category': 'Economics', 'source': 'external'}, {'category': 'Economics', 'source': 's2-fos-model'}]","{'name': 'Review of Economics and Statistics', 'pages': '552-565', 'volume': '94'}"
16,9bb8221b71a979b4d0d331db3d5d1f4091d54084,Gender bias in virtual learning environments: an exploratory study,"['Psychology', 'Computer Science']","[{'category': 'Psychology', 'source': 'external'}, {'category': 'Computer Science', 'source': 'external'}, {'category': 'Psychology', 'source': 's2-fos-model'}]","{'name': 'Br. J. Educ. Technol.', 'pages': '59-', 'volume': '43'}"
17,bbad3afe7b4cf49d515547c149455563b471fc32,Gender Bias Undermines Evidence on Gender and Health,['Medicine'],"[{'category': 'Medicine', 'source': 'external'}, {'category': 'Economics', 'source': 's2-fos-model'}]","{'name': 'Qualitative Health Research', 'pages': '1298 - 1298', 'volume': '22'}"
18,650e60d93323d8644390ce621c8d8ccac3ab9a28,What ’ s in a name ? A personnel selection experiment on gender bias in applicant assessment,,"[{'category': 'Psychology', 'source': 's2-fos-model'}]",
19,2045f3d1c6ef3d3c91a8346c54f7d428df524cc3,A Content Analysis of Textbooks: Investigating Gender Bias as a Social Prominence in Iranian High School English Textbooks,['Psychology'],"[{'category': 'Psychology', 'source': 'external'}, {'category': 'Education', 'source': 's2-fos-model'}]","{'name': 'English Linguistics Research', 'pages': '42', 'volume': '1'}"
20,7c1b20de879adca463bea8b44f387ff3e6a220a4,The professional socialization of collegiate female athletic trainers: navigating experiences of gender bias.,"['Psychology', 'Medicine']","[{'category': 'Psychology', 'source': 'external'}, {'category': 'Medicine', 'source': 'external'}, {'category': 'Psychology', 'source': 's2-fos-model'}]","{'name': 'Journal of athletic training', 'pages': '\n          694-703\n        ', 'volume': '47 6'}"
21,c971392915ffe953c74c4cffb2f9e2f2294de0de,Gender bias: A study of the girl child in Indian fiction,['Psychology'],"[{'category': 'Psychology', 'source': 'external'}, {'category': 'Art', 'source': 's2-fos-model'}]","{'name': 'Global journal for research analysis', 'pages': '118-119', 'volume': '3'}"
22,5d7c3adfb9c90c99ff1b1ad18bffd5049e9ac1a6,Gender Bias in Parental Leave: Evidence from Sweden,,"[{'category': 'Psychology', 'source': 's2-fos-model'}, {'category': 'Economics', 'source': 's2-fos-model'}]","{'name': 'Journal of Family and Economic Issues', 'pages': '235 - 248', 'volume': '34'}"
23,5ecb66b29426504eeede3e0afd7506315526c13c,Outlay Equivalence Analysis of Child Gender Bias in Household Expenditure Data,['Economics'],"[{'category': 'Economics', 'source': 'external'}, {'category': 'Economics', 'source': 's2-fos-model'}]",{'name': 'ERN: Other Institutions & Transition Economics: Macroeconomic Issues (Topic)'}
24,0aa45744fa78e2c4675c82a76e9619f38cc31f92,Reconsidering Gender Bias in Intrahousehold Allocation in India,['Economics'],"[{'category': 'Economics', 'source': 'external'}, {'category': 'Economics', 'source': 's2-fos-model'}, {'category': 'Sociology', 'source': 's2-fos-model'}]","{'name': 'The Journal of Development Studies', 'pages': '151 - 163', 'volume': '48'}"
25,92df9e16f5008947b9a01796c8df45884a7bfe48,Emotions in context: Anger causes ethnic bias but not gender bias in men but not women,['Psychology'],"[{'category': 'Psychology', 'source': 'external'}, {'category': 'Psychology', 'source': 's2-fos-model'}]","{'name': 'European Journal of Social Psychology', 'pages': '432-441', 'volume': '42'}"
26,c2d7631c13fba45b6a7eca2ef3cfa6562badb977,"He, she, it: gender bias in teacher–student interaction at university",['Psychology'],"[{'category': 'Psychology', 'source': 'external'}, {'category': 'Education', 'source': 's2-fos-model'}]","{'name': 'Intercultural Education', 'pages': '147 - 159', 'volume': '23'}"
27,7b659b08998de631d32617a20355e642dd1e7afa,Gender Bias and Social Justice,['Psychology'],"[{'category': 'Psychology', 'source': 'external'}, {'category': 'Economics', 'source': 's2-fos-model'}]","{'name': 'IOSR Journal of Humanities and Social Science', 'pages': '42-44', 'volume': '4'}"
28,1509e1536fc3881fdf4762cf4a95eec69eec1b81,Is there gender bias in the assessment of advertising creativity,['Psychology'],"[{'category': 'Psychology', 'source': 'external'}, {'category': 'Business', 'source': 's2-fos-model'}]","{'name': '', 'pages': '10-17', 'volume': ''}"
29,edd84e297df29fc8ae44d5b87af3d151ef4515f8,Skirting the Issues? Experimental Evidence of Gender Bias in IPO Prospectus Evaluations,,"[{'category': 'Business', 'source': 's2-fos-model'}]",{'name': 'ERPN: Initial Public Offerings (IPOs) (Sub-Topic)'}
30,fd472b87d4c24e3e5c4b96d6a50caa32fc43847d,Gender Bias in Reading and Related Literature Judith Zerring Goldberg In Partial Fullfillment of the Requirements for Master of Arts Degree in Education Kean College of New Jersey,,"[{'category': 'Education', 'source': 's2-fos-model'}]",
31,e80ae00bb59eb0e40e1bcf92cc2568f20781a110,The Application of Functional Linguistics in Exposing Gender Bias in Iranian High School English Textbooks,['Psychology'],"[{'category': 'Psychology', 'source': 'external'}, {'category': 'Education', 'source': 's2-fos-model'}]","{'name': 'English Language and Literature Studies', 'pages': '85', 'volume': '2'}"
32,9fd9061640445b1a03ea637c6e1c51b033267fc4,Is There a Gender Bias in Crime Against Firms for Developing Economies?,,"[{'category': 'Economics', 'source': 's2-fos-model'}]",{'name': 'ERN: Women & Gender Issues (Topic)'}
33,f13e887ce8b5b189e22cd43641b0f5c61854dcaa,"Identifying Gender Bias in College Culture: Descriptive and Prescriptive Stereotypes, Hostile and Benevolent Sexism, and Cognitive Justification",['Psychology'],"[{'category': 'Psychology', 'source': 'external'}, {'category': 'Psychology', 'source': 's2-fos-model'}]","{'name': '', 'volume': ''}"
34,36c4a84b264daea195c4a915d4e078da96195630,Gender bias in employment contexts: A closer examination of the role incongruity principle☆,['Psychology'],"[{'category': 'Psychology', 'source': 'external'}, {'category': 'Psychology', 'source': 's2-fos-model'}]","{'name': 'Journal of Experimental Social Psychology', 'pages': '86-96', 'volume': '48'}"
35,eb9fa6956dadb87db4e1e4b45e1d207827dd720b,Gender bias in network news reporting: Inaccurate risk information about male and female birth control,['Psychology'],"[{'category': 'Psychology', 'source': 'external'}, {'category': 'Biology', 'source': 's2-fos-model'}]","{'name': '', 'volume': ''}"
36,47349d060161d67879af4a79ca25cc6fb980c35d,Detecting Gender Biasness via Gender Differential Item Functioning Analysis on Integrated Meaningful Hybrid E-learning Instrument,,"[{'category': 'Education', 'source': 's2-fos-model'}]",
37,b80c3329af15713c31cd546bca2567a5722685f5,The ethical nursing care of transgender patients: an exploration of bias in health care and how it affects this population.,['Medicine'],"[{'category': 'Medicine', 'source': 'external'}, {'category': 'Medicine', 'source': 's2-fos-model'}]","{'name': 'The American journal of nursing', 'pages': '\n          61-4\n        ', 'volume': '112 12'}"
38,cea3ed51b0a50d89138dbda16e1cf50290b866b9,"Climate Change, Gender and Natural Disasters: Social Differences and Environment-Related Victimisation",['Geography'],"[{'category': 'Geography', 'source': 'external'}, {'category': 'Sociology', 'source': 's2-fos-model'}]","{'name': '', 'pages': '149-171', 'volume': ''}"
39,4065c6ab28337a2e69a945df086bd402ecb790b6,Do obesity and gender bias implicit multi-cue learning performance?,['Psychology'],"[{'category': 'Psychology', 'source': 'external'}, {'category': 'Psychology', 'source': 's2-fos-model'}]","{'name': '', 'volume': ''}"
40,02d8fa754908163bfba502a33e08c0c0567d0e2a,Gender identification bias induced with texture images on a life size retro-projected face screen,['Computer Science'],"[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Engineering', 'source': 's2-fos-model'}]","{'name': '2012 IEEE RO-MAN: The 21st IEEE International Symposium on Robot and Human Interactive Communication', 'pages': '43-48'}"
41,fdc7ceb59e8b1e1028ac35f7ca12d363ad382ae7,Gender Differences in Early Free and Open Source Software Joining Process,"['Political Science', 'Computer Science']","[{'category': 'Political Science', 'source': 'external'}, {'category': 'Computer Science', 'source': 'external'}, {'category': 'Computer Science', 'source': 's2-fos-model'}]",{'pages': '78-93'}
42,20262c6dc728588641fef3648a7dba6b7abf9053,The Possible Role of Resource Requirements and Academic Career-Choice Risk on Gender Differences in Publication Rate and Impact,"['Physics', 'Computer Science', 'Medicine', 'Psychology']","[{'category': 'Physics', 'source': 'external'}, {'category': 'Computer Science', 'source': 'external'}, {'category': 'Medicine', 'source': 'external'}, {'category': 'Psychology', 'source': 'external'}, {'category': 'Education', 'source': 's2-fos-model'}]","{'name': 'PLoS ONE', 'volume': '7'}"
43,edeece6a80221e87ba77dd30f56c8e687f95473a,Age and gender differences in depression across adolescence: real or 'bias'?,"['Psychology', 'Medicine']","[{'category': 'Psychology', 'source': 'external'}, {'category': 'Medicine', 'source': 'external'}, {'category': 'Psychology', 'source': 's2-fos-model'}, {'category': 'Medicine', 'source': 's2-fos-model'}]","{'name': 'Journal of child psychology and psychiatry, and allied disciplines', 'pages': '\n          973-85\n        ', 'volume': '53 9'}"
44,9cf0e14396fa874ecf371237464aabc962cfe212,Where Are All the Women? Gender Bias Persists in Social Studies Texts,['Psychology'],"[{'category': 'Psychology', 'source': 'external'}, {'category': 'Art', 'source': 's2-fos-model'}, {'category': 'Sociology', 'source': 's2-fos-model'}]","{'name': 'The Advocate', 'pages': '6', 'volume': '20'}"
45,715892e58719cfa68c32440b0acc3c31b5b09331,Offering gender bias in engineering: Gender equity internet controlled fish farm curriculum activity,['Political Science'],"[{'category': 'Political Science', 'source': 'external'}]","{'name': '', 'volume': ''}"
46,49ad30d30d1d7b8620adb60b1f291b7e1e095e9a,Molecular Evidence for Gender Differences in the Migratory Behaviour of a Small Seabird,"['Biology', 'Medicine']","[{'category': 'Biology', 'source': 'external'}, {'category': 'Medicine', 'source': 'external'}, {'category': 'Environmental Science', 'source': 's2-fos-model'}, {'category': 'Biology', 'source': 's2-fos-model'}]","{'name': 'PLoS ONE', 'volume': '7'}"
47,dbcea29c72e5a9d5a7021f2aff909062c3d5a20c,"Who’s funny: Gender stereotypes, humor production, and memory bias","['Psychology', 'Medicine']","[{'category': 'Psychology', 'source': 'external'}, {'category': 'Medicine', 'source': 'external'}, {'category': 'Psychology', 'source': 's2-fos-model'}]","{'name': 'Psychonomic Bulletin & Review', 'pages': '108-112', 'volume': '19'}"
48,71b8a28c1a4701ccf25b5be1e711811fefca5a34,Gender and Pregnancy Bias in the Workplace,['Medicine'],"[{'category': 'Medicine', 'source': 'external'}]","{'name': '', 'pages': '7', 'volume': '1'}"
49,6ccb011868be61b0932f43d8055d0f5b1cf16091,How financial conflicts of interest in the DSM reinforce gender bias in psychiatric taxonomy,['Psychology'],"[{'category': 'Psychology', 'source': 'external'}, {'category': 'Psychology', 'source': 's2-fos-model'}]","{'name': '', 'volume': ''}"
50,d58a336c4a7a6325eb621256b8fe94e484b46f48,Corporate Board Gender Diversity and Stock Performance: The Competence Gap or Institutional Investor Bias?,['Business'],"[{'category': 'Business', 'source': 'external'}, {'category': 'Business', 'source': 's2-fos-model'}]","{'name': 'North Carolina Law Review', 'pages': '809', 'volume': '89'}"
51,5a275de67eeb74f8c872da6e544c9c86e38c3627,Gender and Racial Bias in the Courtroom,,"[{'category': 'Law', 'source': 's2-fos-model'}]",
52,dca49bfae17856a40452437212e298051848e864,The effects of tourniquet pain on attention bias towards pain-related words and its gender difference,['Medicine'],"[{'category': 'Medicine', 'source': 'external'}, {'category': 'Psychology', 'source': 's2-fos-model'}]","{'name': 'Chinese Journal of Behavioral Medicine and Brain Science', 'pages': '440-442', 'volume': '21'}"
53,bed655eae828ec807698951ebf2a5b5531aed08d,Gender difference in ethical abilities of dental students.,"['Psychology', 'Medicine']","[{'category': 'Psychology', 'source': 'external'}, {'category': 'Medicine', 'source': 'external'}, {'category': 'Psychology', 'source': 's2-fos-model'}]","{'name': 'Journal of dental education', 'pages': '\n          1137-49\n        ', 'volume': '76 9'}"
54,6e85e33cf1e90381389c5a42c18352161a7b7dd6,Gender Bias in Schooling,['Economics'],"[{'category': 'Economics', 'source': 'external'}, {'category': 'Business', 'source': 's2-fos-model'}]","{'name': '', 'pages': '43-58', 'volume': '15'}"
55,92e20a3d0fb83fa44e953970a6df7a5f78d6b148,Liquid Chromatography-Tandem Mass Spectrometry Assay to Detect Ethyl Glucuronide in Human Fingernail: Comparison to Hair and Gender Differences.,"['Chemistry', 'Medicine']","[{'category': 'Chemistry', 'source': 'external'}, {'category': 'Medicine', 'source': 'external'}, {'category': 'Biology', 'source': 's2-fos-model'}]","{'name': 'American journal of analytical chemistry', 'pages': '\n          83-91\n        ', 'volume': '3 1'}"
56,b5e6946403fc4528683cfb1450919b82b9de2f5e,What are the underlying issues contributing to the success and failure of women in leadership and management roles? Stereotyping and gender bias,['Political Science'],"[{'category': 'Political Science', 'source': 'external'}, {'category': 'Psychology', 'source': 's2-fos-model'}]",
57,cfabe991805dd96b4e82d5fdf35ed8d0a4bb7fe9,Gender Differences in Food Choice and Dietary Intake in Modern Western Societies,['Geography'],"[{'category': 'Geography', 'source': 'external'}, {'category': 'Education', 'source': 's2-fos-model'}]","{'name': '', 'volume': ''}"
58,ffde1c9469395acc53a8fc556b37ceeecd119e51,Longitudinal gender and age bias in a prominent amateur new media community,"['Psychology', 'Computer Science']","[{'category': 'Psychology', 'source': 'external'}, {'category': 'Computer Science', 'source': 'external'}, {'category': 'Psychology', 'source': 's2-fos-model'}]","{'name': 'New Media & Society', 'pages': '27 - 7', 'volume': '14'}"
59,d2ed2a998312209b410a4dff9a0cc9d37fe1d563,Gender and Race/Ethnicity Exploring Bias in Math Teachers' Perceptions of Students' Ability by,"['Mathematics', 'Political Science']","[{'category': 'Mathematics', 'source': 'external'}, {'category': 'Political Science', 'source': 'external'}, {'category': 'Education', 'source': 's2-fos-model'}]","{'name': '', 'volume': ''}"
60,05e53de5990b83980fe53ac1145c19b50e1a7149,Gender Differences in Initiation of Negotiation: Does the Gender of the Negotiation Counterpart Matter?,['Psychology'],"[{'category': 'Psychology', 'source': 'external'}, {'category': 'Economics', 'source': 's2-fos-model'}]","{'name': 'Negotiation Journal', 'pages': '407-428', 'volume': '28'}"
61,db759827d8635ba5e06f736b30da7f729e992b2b,Analyzing the Gender Gap: The Household Determinants of the Gender Bias in Nutritional Outcomes for Children in India,['Economics'],"[{'category': 'Economics', 'source': 'external'}, {'category': 'Economics', 'source': 's2-fos-model'}]","{'name': 'Georgetown University-Graduate School of Arts & Sciences', 'volume': ''}"
62,8dd7e3e24c6281aa9aaa866262ed805e3ba5a603,How Did Women Count? A Note on Gender‐Specific Age Heaping Differences in the Sixteenth to Nineteenth Centuries,"['Medicine', 'Economics']","[{'category': 'Medicine', 'source': 'external'}, {'category': 'Economics', 'source': 'external'}, {'category': 'Economics', 'source': 's2-fos-model'}, {'category': 'History', 'source': 's2-fos-model'}]",{'name': 'Economic History eJournal'}
63,f4099affd8676abd8c3b3eb85071f268a88ed089,Gender differences in UV-induced inflammation and immunosuppression in mice reveal male unresponsiveness to UVA radiation,"['Biology', 'Medicine']","[{'category': 'Biology', 'source': 'external'}, {'category': 'Medicine', 'source': 'external'}, {'category': 'Biology', 'source': 's2-fos-model'}]","{'name': 'Photochemical & Photobiological Sciences', 'pages': '173 - 179', 'volume': '11'}"
64,34219a4fa4ccdedf9114703dd415aede44d238c8,Sons or Daughters? Endogenous Sex Preferences and the Reversal of the Gender Educational Gap,['Economics'],"[{'category': 'Economics', 'source': 'external'}, {'category': 'Economics', 'source': 's2-fos-model'}]",{'name': 'Labor: Human Capital eJournal'}
65,47349d060161d67879af4a79ca25cc6fb980c35d,Detecting Gender Biasness via Gender Differential Item Functioning Analysis on Integrated Meaningful Hybrid E-learning Instrument,,"[{'category': 'Education', 'source': 's2-fos-model'}]",
66,6917944db0660e29b3b8bd6faa64f3c02481c923,What's Wrong with Just War Theory? Examining the Gendered Bias of a Longstanding Tradition,['Sociology'],"[{'category': 'Sociology', 'source': 'external'}]","{'name': 'Inquiries Journal', 'volume': '4'}"
67,1a5a5d9599a33b986f0828cbf8be05697511817d,Examining the Gender Wage Gap in Canada in 1999 and 2011 Correcting for Self-Selection Bias,['Political Science'],"[{'category': 'Political Science', 'source': 'external'}, {'category': 'Economics', 'source': 's2-fos-model'}]","{'name': '', 'volume': ''}"
68,e6eb20b733d17e2adec6169c17396612c93dd72e,If the shoe fits: the power of the gender-biased narrative in the preschool classroom,['Political Science'],"[{'category': 'Political Science', 'source': 'external'}, {'category': 'Education', 'source': 's2-fos-model'}]",
69,e8d97d002a7150907ea329af90c82cd99131e87f,"Selection, Heterogeneity and the Gender Wage Gap",['Economics'],"[{'category': 'Economics', 'source': 'external'}, {'category': 'Economics', 'source': 's2-fos-model'}]",{'name': 'Labor: Supply & Demand eJournal'}
70,26366c3b6cc659fe9fcfe2152caaf34d12f22399,F1000Prime recommendation of Science faculty's subtle gender biases favor male students.,['Psychology'],"[{'category': 'Psychology', 'source': 'external'}, {'category': 'Education', 'source': 's2-fos-model'}]","{'name': '', 'volume': ''}"
71,fdcd812599aa8dec5439b2ff92ff988920bc312d,Property and Belongingness: Rethinking Gender-Biased Disinheritance,['Sociology'],"[{'category': 'Sociology', 'source': 'external'}, {'category': 'Sociology', 'source': 's2-fos-model'}]","{'name': 'Texas Journal of Women, Gender, and the Law', 'pages': '119', 'volume': '21'}"
72,29cf3b960c2d3cd41e24b518a412fa7692c732f4,Gender differences in questions asked in an online preoperative patient education program.,['Medicine'],"[{'category': 'Medicine', 'source': 'external'}, {'category': 'Medicine', 'source': 's2-fos-model'}]","{'name': 'Gender medicine', 'pages': '\n          457-62\n        ', 'volume': '9 6'}"
73,cf2c7aec01eee5c2085f027f3d1179e96184d394,A Supply-Demand Framework for Understanding the U.S. Gender Gap in Education,['Economics'],"[{'category': 'Economics', 'source': 'external'}, {'category': 'Economics', 'source': 's2-fos-model'}, {'category': 'Sociology', 'source': 's2-fos-model'}]","{'name': 'The B.E. Journal of Macroeconomics', 'volume': '12'}"
74,0d7db586edb9f3700d9ee08b30387ad49a239d6a,Race is gendered: how covarying phenotypes and stereotypes bias sex categorization.,"['Psychology', 'Medicine']","[{'category': 'Psychology', 'source': 'external'}, {'category': 'Medicine', 'source': 'external'}, {'category': 'Psychology', 'source': 's2-fos-model'}]","{'name': 'Journal of personality and social psychology', 'pages': '\n          116-31\n        ', 'volume': '102 1'}"
75,bd4a7d0a2feac6a4ca4e4c47a62b0e50c0962c98,Gender Biases in RateMyProfessors.com Student Evaluations of Professors: An Archival Study,['Political Science'],"[{'category': 'Political Science', 'source': 'external'}, {'category': 'Education', 'source': 's2-fos-model'}]",
76,dbd10f190dd30ea3052ea9e4b36ad7281a422d4a,A decomposition approach to analysing racial and gender biases in Farm Service Agency's lending decisions,['Economics'],"[{'category': 'Economics', 'source': 'external'}, {'category': 'Economics', 'source': 's2-fos-model'}]","{'name': 'Applied Economics', 'pages': '2841 - 2850', 'volume': '44'}"
77,7872279db31388d7d3361dbbb7f22a42cb17afca,Gender Biases and Evaluations : The Moderating Effect of Performance Level,,"[{'category': 'Business', 'source': 's2-fos-model'}]",
78,9f9248e1e2671c15a1facede86deef53ab0dccd9,Vanished gender differences of cardiometabolic risk factors after matching the apnea hypopnea index at postmenopausal age.,['Medicine'],"[{'category': 'Medicine', 'source': 'external'}, {'category': 'Medicine', 'source': 's2-fos-model'}]","{'name': 'Gender medicine', 'pages': '\n          9-20\n        ', 'volume': '9 1'}"
79,148c2258f1383c59d6c9a9916176b840ce8a773a,"Heritability, Assortative Mating and Gender Differences in Violent Crime: Results from a Total Population Sample Using Twin, Adoption, and Sibling Models","['Psychology', 'Medicine']","[{'category': 'Psychology', 'source': 'external'}, {'category': 'Medicine', 'source': 'external'}, {'category': 'Psychology', 'source': 's2-fos-model'}]","{'name': 'Behavior Genetics', 'pages': '3-18', 'volume': '42'}"
80,f95e90f2f99d68d5cb38f5550ca1a8b92aa4a746,Gender Differences in the Perceived Effectiveness of Narcissistic Leaders,['Psychology'],"[{'category': 'Psychology', 'source': 'external'}, {'category': 'Psychology', 'source': 's2-fos-model'}]","{'name': 'Applied Psychology', 'pages': '473-498', 'volume': '64'}"
81,7fbe13bf6abb967941e42399fd128c6015877b63,Race and Gender Differences Under Federal Sentencing Guidelines,['Economics'],"[{'category': 'Economics', 'source': 'external'}, {'category': 'Law', 'source': 's2-fos-model'}]","{'name': 'The American Economic Review', 'pages': '256-260', 'volume': '102'}"
82,bfb14f22bfa293faddee95c0f05258301537ce7b,Are female and male entrepreneurs equally innovative? Reducing the genderbias of operationalizations and industries studied,['Psychology'],"[{'category': 'Psychology', 'source': 'external'}, {'category': 'Business', 'source': 's2-fos-model'}, {'category': 'Economics', 'source': 's2-fos-model'}]","{'name': '', 'volume': ''}"
83,21c328f331a00ded8f1cf9873de46a8226391eeb,Knowledge work: gender-blind or gender-biased?,['Economics'],"[{'category': 'Economics', 'source': 'external'}, {'category': 'Business', 'source': 's2-fos-model'}]","{'name': 'Work, Employment & Society', 'pages': '735 - 754', 'volume': '26'}"
84,dd418bf0b952ac4857e0d8ceb0fb20ce3eb70e56,Expanding the suite of measures of gender-based discrimination: gender differences in ablution facilities in South Africa,['Political Science'],"[{'category': 'Political Science', 'source': 'external'}, {'category': 'Sociology', 'source': 's2-fos-model'}]","{'name': 'South African Journal of Economic and Management Sciences', 'pages': '222-234', 'volume': '15'}"
85,2f009b0a483bd9773d2fe9cb835408e8faadefd9,Gender and career Choice Differences on Bakare Vocational Interest Inventory: Implications for Vocational Counseling In Nigeria,['Psychology'],"[{'category': 'Psychology', 'source': 'external'}, {'category': 'Economics', 'source': 's2-fos-model'}]","{'name': 'International Journal of Development and Management Review', 'volume': '7'}"
86,6cd251b5cded593e65af6be7369a9a68a70295f9,A Gender Biased Perspective of Business Education in the 19th and 20th Centuries.,['Political Science'],"[{'category': 'Political Science', 'source': 'external'}, {'category': 'Education', 'source': 's2-fos-model'}]","{'name': '', 'pages': '9-41', 'volume': ''}"
87,51d46b00768d56a3ab2c5e54394c9707a17094cf,Gender Bias Among Mental Health Therapists as It Relates to Screening for Male Sexual Abuse,['Psychology'],"[{'category': 'Psychology', 'source': 'external'}, {'category': 'Psychology', 'source': 's2-fos-model'}]",
88,e691e7f4cf4ccd2d7693e6891b4d88bda7b20456,"CD4+ T cell affinity can affect gender bias, disease severity and B cell requirement in inflammatory arthritis. (60.6)",,"[{'category': 'Biology', 'source': 's2-fos-model'}, {'category': 'Medicine', 'source': 's2-fos-model'}]",{'name': 'The Journal of Immunology'}
89,ef88591801ba2142830ff35a4e4d6793c5e5be8f,Gender differences in Latin-American patients with rheumatoid arthritis.,['Medicine'],"[{'category': 'Medicine', 'source': 'external'}, {'category': 'Medicine', 'source': 's2-fos-model'}]","{'name': 'Gender medicine', 'pages': '\n          490-510.e5\n        ', 'volume': '9 6'}"
90,e4fceb53e65f365a554173fb354da2f54a617b6d,Abstract 13607: Gender Differences in Myocardial Ischemia-Related Symptoms During Transient Balloon Occlusion of the Coronary Artery,['Medicine'],"[{'category': 'Medicine', 'source': 'external'}, {'category': 'Medicine', 'source': 's2-fos-model'}]","{'name': 'Circulation', 'volume': '126'}"
