Title,female,male,authors_nr,female_nr,male_nr,participation_f,participation_m,Title,Year,auhtors_nr_cat,authors_nr_cat
0697 Gender Bias with Centers for Medicare and Medicaid Services Scoring Criteria when Diagnosing Obstructive Sleep Apnea,0.67,0.33,3,2,1,1,1,0697 Gender Bias with Centers for Medicare and Medicaid Services Scoring Criteria when Diagnosing Obstructive Sleep Apnea,2019,3,3
1 On The Origins of Gender Human Capital Gaps : Short and Long Term Consequences of Teachers ’ Stereotypical Biases January 2015,0.0,1.0,1,0,1,0,1,1 On The Origins of Gender Human Capital Gaps : Short and Long Term Consequences of Teachers ’ Stereotypical Biases January 2015,2015,1,1
1164 Breaking the Academic Ceiling: Gender Disparities and Bias in Authorship in Leading Gastroenterological Journals,0.83,0.17,6,5,1,1,1,1164 Breaking the Academic Ceiling: Gender Disparities and Bias in Authorship in Leading Gastroenterological Journals,2019,5-10,5-10
136. In Their Own words: a Qualitative Analysis of Factors Contributing to Gender Bias in Academic Advancement in Infectious Disease,0.6,0.4,5,3,2,1,1,136. In Their Own words: a Qualitative Analysis of Factors Contributing to Gender Bias in Academic Advancement in Infectious Disease,2020,5-10,5-10
198 Systematic Liaised Inpatient Cardiac Rehabilitation Referral (SLICRR): I - Decreased CR Gender Referral Bias In Favour of Women,0.5,0.5,4,2,2,1,1,198 Systematic Liaised Inpatient Cardiac Rehabilitation Referral (SLICRR): I - Decreased CR Gender Referral Bias In Favour of Women,2012,4,4
1G-33 Age and gender difference in driving style and fuel efficiency on highway driving,0.25,0.75,4,1,3,1,1,1G-33 Age and gender difference in driving style and fuel efficiency on highway driving,2013,4,4
2. ‘Female-Fronted Metal’: Gender Differences and (Sub)Genres,0.5,0.5,2,1,1,1,1,2. ‘Female-Fronted Metal’: Gender Differences and (Sub)Genres,2018,2,2
2010 Outstanding AFCPE® Conference Paper: Gender Differences in Financial Socialization and Willingness to Take Financial Risks,0.5,0.5,2,1,1,1,1,2010 Outstanding AFCPE® Conference Paper: Gender Differences in Financial Socialization and Willingness to Take Financial Risks,2013,2,2
2012 Workplace and Gender Relations Survey of Active Duty Members: Nonresponse Bias Analysis Report,0.12,0.88,8,1,7,1,1,2012 Workplace and Gender Relations Survey of Active Duty Members: Nonresponse Bias Analysis Report,2014,5-10,5-10
2D:4D Asymmetry and Gender Differences in Academic Performance,0.4,0.6,5,2,3,1,1,2D:4D Asymmetry and Gender Differences in Academic Performance,2012,5-10,5-10
"3. All Vocals, Few Chords: Gender Differences in Instrumentation",0.5,0.5,2,1,1,1,1,"3. All Vocals, Few Chords: Gender Differences in Instrumentation",2018,2,2
4. Wielding the Double-Edged Sword: Gender Differences in Artistic Careers,0.5,0.5,2,1,1,1,1,4. Wielding the Double-Edged Sword: Gender Differences in Artistic Careers,2018,2,2
46 The Hidden Truth About Gender Bias in Surgery. A Systematic Review,0.29,0.71,7,2,5,1,1,46 The Hidden Truth About Gender Bias in Surgery. A Systematic Review,2021,5-10,5-10
480) Disparities in gender and weight bias toward chronic low back pain patients,1.0,0.0,6,6,0,1,0,480) Disparities in gender and weight bias toward chronic low back pain patients,2015,5-10,5-10
5-Methyl-Tetrahydrofolate and the S-Adenosylmethionine Cycle in C57BL/6J Mouse Tissues: Gender Differences and Effects of Arylamine N-Acetyltransferase-1 Deletion,0.5,0.5,6,3,3,1,1,5-Methyl-Tetrahydrofolate and the S-Adenosylmethionine Cycle in C57BL/6J Mouse Tissues: Gender Differences and Effects of Arylamine N-Acetyltransferase-1 Deletion,2013,5-10,5-10
50 Shades of Film Censorship: Gender Bias From the Hays Code to MPAA Ratings,1.0,0.0,1,1,0,1,0,50 Shades of Film Censorship: Gender Bias From the Hays Code to MPAA Ratings,2018,1,1
"6-H: Marketplace Resources and Gender: a Standpoint Analysis of Status Bias, Cultural Stereotypes and the Production of Positional Inequalities",0.67,0.33,3,2,1,1,1,"6-H: Marketplace Resources and Gender: a Standpoint Analysis of Status Bias, Cultural Stereotypes and the Production of Positional Inequalities",2017,3,3
6. Gender Difference in Cross-National Perspective,0.0,1.0,1,0,1,0,1,6. Gender Difference in Cross-National Perspective,2019,1,1
7 Patterns of gender representation in councils at the second tier of local government Assessing the gender gap in an unexplored institutional setting,0.5,0.5,2,1,1,1,1,7 Patterns of gender representation in councils at the second tier of local government Assessing the gender gap in an unexplored institutional setting,2016,2,2
73.1 Family Gender Bias and Influence on Girls' Mental Health Vulnerabilities,1.0,0.0,1,1,0,1,0,73.1 Family Gender Bias and Influence on Girls' Mental Health Vulnerabilities,2017,1,1
8. Gender Bias and Marine Mammal Tourism Research,1.0,0.0,1,1,0,1,0,8. Gender Bias and Marine Mammal Tourism Research,2018,1,1
83 Gender at the Head of the Bed: Does Gender Bias Exist in the Evaluation of Emergency Medicine Residents' Leadership Skills During Medical Resuscitations?,0.5,0.5,2,1,1,1,1,83 Gender at the Head of the Bed: Does Gender Bias Exist in the Evaluation of Emergency Medicine Residents' Leadership Skills During Medical Resuscitations?,2017,2,2
943 Gender Inequalities in Surgery: A Literature Review and Social Media Analysis,1.0,0.0,2,2,0,1,0,943 Gender Inequalities in Surgery: A Literature Review and Social Media Analysis,2022,2,2
"988 The Prevalence and Incidence of Gender Bias and Sexual Discrimination in Orthopaedics, and Mitigating Strategies: A Systematic Review",0.4,0.6,5,2,3,1,1,"988 The Prevalence and Incidence of Gender Bias and Sexual Discrimination in Orthopaedics, and Mitigating Strategies: A Systematic Review",2021,5-10,5-10
; Corporate Board Gender Diversity and Firm Financial Performance：The Institutional Investor Bias in Taiwan,1.0,0.0,1,1,0,1,0,; Corporate Board Gender Diversity and Firm Financial Performance：The Institutional Investor Bias in Taiwan,2013,1,1
A Biocultural Investigation of Gender Differences in Tobacco Use in an Egalitarian Hunter-Gatherer Population,0.33,0.67,3,1,2,1,1,A Biocultural Investigation of Gender Differences in Tobacco Use in an Egalitarian Hunter-Gatherer Population,2016,3,3
A Biological Basis for the Gender Wage Gap: Fecundity and Age and Educational Hypogamy,0.33,0.67,3,1,2,1,1,A Biological Basis for the Gender Wage Gap: Fecundity and Age and Educational Hypogamy,2014,3,3
A Bird's Eye View of Gender Differences in Education in OECD Countries,1.0,0.0,2,2,0,1,0,A Bird's Eye View of Gender Differences in Education in OECD Countries,2013,2,2
A Broken Pipeline: Effects of Gender and Racial/Ethnic Barriers on College Students’ Educational Aspiration–Pursuit Gap,0.2,0.8,5,1,4,1,1,A Broken Pipeline: Effects of Gender and Racial/Ethnic Barriers on College Students’ Educational Aspiration–Pursuit Gap,2021,5-10,5-10
A Call for Professionalism: Addressing Gender Bias in Surgical Training,1.0,0.0,6,6,0,1,0,A Call for Professionalism: Addressing Gender Bias in Surgical Training,2020,5-10,5-10
A Causal Inference Method for Reducing Gender Bias in Word Embedding Relations,0.0,1.0,2,0,2,0,1,A Causal Inference Method for Reducing Gender Bias in Word Embedding Relations,2019,2,2
A Challenge in Genetic Tumor Syndromes: Delayed Diagnosis Aggravated by Gender Bias in Birt-Hogg-Dubé Syndrome,1.0,0.0,4,4,0,1,0,A Challenge in Genetic Tumor Syndromes: Delayed Diagnosis Aggravated by Gender Bias in Birt-Hogg-Dubé Syndrome,2022,4,4
A Cohort Perspective on Gender Gaps in College Attendance and Completion,1.0,0.0,1,1,0,1,0,A Cohort Perspective on Gender Gaps in College Attendance and Completion,2013,1,1
"A Colonial Legacy of African Gender Inequality? Evidence from Christian Kampala, 1895–2011",0.0,1.0,2,0,2,0,1,"A Colonial Legacy of African Gender Inequality? Evidence from Christian Kampala, 1895–2011",2015,2,2
A Comparative Study of Apology Strategy Use by Iranian and German EFL Learners: Gender Differences in Focus,0.0,1.0,2,0,2,0,1,A Comparative Study of Apology Strategy Use by Iranian and German EFL Learners: Gender Differences in Focus,2017,2,2
A Comparative Study of Gender Differences in Refusal Strategies from English Majors,1.0,0.0,1,1,0,1,0,A Comparative Study of Gender Differences in Refusal Strategies from English Majors,2019,1,1
A Comparative Study of Gender Differences on Mental Toughness among Senior National Athletes,0.67,0.33,3,2,1,1,1,A Comparative Study of Gender Differences on Mental Toughness among Senior National Athletes,2012,3,3
"A Comparative Study of Language Dependent Gender Bias in the Online Newspapers of Conservative, Semi-conservative and Western Countries",0.25,0.75,4,1,3,1,1,"A Comparative Study of Language Dependent Gender Bias in the Online Newspapers of Conservative, Semi-conservative and Western Countries",2021,4,4
A Comparative Study on Gender Bias in the Purchase of STEM Toys (Fundamental),1.0,0.0,2,2,0,1,0,A Comparative Study on Gender Bias in the Purchase of STEM Toys (Fundamental),2020,2,2
A Comparison between General Population Mortality and Life Tables for Insurance in Mexico under Gender Proportion Inequality,1.0,0.0,2,2,0,1,0,A Comparison between General Population Mortality and Life Tables for Insurance in Mexico under Gender Proportion Inequality,2013,2,2
"A Comparison of Gender Differences in Smoking Behaviors, Intention to Quit, and Nicotine Dependence among Thai University Students",1.0,0.0,4,4,0,1,0,"A Comparison of Gender Differences in Smoking Behaviors, Intention to Quit, and Nicotine Dependence among Thai University Students",2018,4,4
A Comprehensive Analysis of miRNA/isomiR Expression with Gender Difference,0.5,0.5,4,2,2,1,1,A Comprehensive Analysis of miRNA/isomiR Expression with Gender Difference,2016,4,4
A Comprehensive Study of Gender Bias in Chemical Named Entity Recognition Models,0.33,0.67,3,1,2,1,1,A Comprehensive Study of Gender Bias in Chemical Named Entity Recognition Models,2022,3,3
A Conceptual Model on Gender Biases and Discrimination in Entrepreneurial Resource Provision,0.5,0.5,2,1,1,1,1,A Conceptual Model on Gender Biases and Discrimination in Entrepreneurial Resource Provision,2021,2,2
A Content Analysis of Gender Bias in When English Rings A Bell Textbooks,0.33,0.67,3,1,2,1,1,A Content Analysis of Gender Bias in When English Rings A Bell Textbooks,2019,3,3
A Content Analysis of Textbooks: Investigating Gender Bias as a Social Prominence in Iranian High School English Textbooks,0.0,1.0,2,0,2,0,1,A Content Analysis of Textbooks: Investigating Gender Bias as a Social Prominence in Iranian High School English Textbooks,2012,2,2
A Counterfactual Analysis of the Gender Gap in Parenting Time: Explained and Unexplained Variances at Different Stages of Parenting1,0.0,1.0,2,0,2,0,1,A Counterfactual Analysis of the Gender Gap in Parenting Time: Explained and Unexplained Variances at Different Stages of Parenting1,2016,2,2
A Critical Analysis of Gender Bias in ELT Textbooks in Tajikistan,1.0,0.0,1,1,0,1,0,A Critical Analysis of Gender Bias in ELT Textbooks in Tajikistan,2014,1,1
A Critical Assessment of the UNDP’s Gender Inequality Index,0.0,1.0,1,0,1,0,1,A Critical Assessment of the UNDP’s Gender Inequality Index,2013,1,1
A Cross-Cohort Analysis of Human Capital Specialization and the College Gender Wage Gap,0.33,0.67,3,1,2,1,1,A Cross-Cohort Analysis of Human Capital Specialization and the College Gender Wage Gap,2019,3,3
A Cross-Industry Comparison of How Women Leaders Experience Gender Bias,1.0,0.0,3,3,0,1,0,A Cross-Industry Comparison of How Women Leaders Experience Gender Bias,2020,3,3
A Cross-National Comparison of Gender Gaps,1.0,0.0,1,1,0,1,0,A Cross-National Comparison of Gender Gaps,2017,1,1
A Cross-National Examination of Global Gender Inequality and Femicide by Intimate Partners and Family Members,1.0,0.0,2,2,0,1,0,A Cross-National Examination of Global Gender Inequality and Femicide by Intimate Partners and Family Members,2022,2,2
A Cross-National Study of the Gender Gap in Health Among Older Adults in India and China: Similarities and Disparities,0.25,0.75,4,1,3,1,1,A Cross-National Study of the Gender Gap in Health Among Older Adults in India and China: Similarities and Disparities,2018,4,4
A Cross-Sectional Study Investigating Canadian and Australian Adolescents’ Perceived Experiences of COVID-19: Gender Differences and Mental Health Implications,0.5,0.5,8,4,4,1,1,A Cross-Sectional Study Investigating Canadian and Australian Adolescents’ Perceived Experiences of COVID-19: Gender Differences and Mental Health Implications,2022,5-10,5-10
A Dataset for Tackling Gender Bias in Text,1.0,0.0,5,5,0,1,0,A Dataset for Tackling Gender Bias in Text,2018,5-10,5-10
A Decline of Gender Bias in Voting Patterns in a Gender Biased Society,1.0,0.0,1,1,0,1,0,A Decline of Gender Bias in Voting Patterns in a Gender Biased Society,2016,1,1
A Descriptive Longitudinal Study of Chronic Pain Outcomes and Gender Differences in a Multidisciplinary Pain Management Centre,1.0,0.0,1,1,0,1,0,A Descriptive Longitudinal Study of Chronic Pain Outcomes and Gender Differences in a Multidisciplinary Pain Management Centre,2014,1,1
A Different Frame of Reference: Entrepreneurship and Gender Differences in the Perception of Danger,1.0,0.0,2,2,0,1,0,A Different Frame of Reference: Entrepreneurship and Gender Differences in the Perception of Danger,2016,2,2
A Discourse Analysis of Interactions with Alexa Virtual Assistant Showing Reproductions of Gender Bias,1.0,0.0,2,2,0,1,0,A Discourse Analysis of Interactions with Alexa Virtual Assistant Showing Reproductions of Gender Bias,2022,2,2
A Discursive Analysis on Gender Biased Issues in the International ELT Textbooks,0.0,1.0,1,0,1,0,1,A Discursive Analysis on Gender Biased Issues in the International ELT Textbooks,2021,1,1
"A Disproportionate Burden of Care: Gender Differences in Mental Health, Health-Related Quality of Life, and Social Support in Mexican Multiple Sclerosis Caregivers",0.57,0.43,7,4,3,1,1,"A Disproportionate Burden of Care: Gender Differences in Mental Health, Health-Related Quality of Life, and Social Support in Mexican Multiple Sclerosis Caregivers",2015,5-10,5-10
A Distributional Analysis of the Gender Wage Gap in Bangladesh,0.5,0.5,2,1,1,1,1,A Distributional Analysis of the Gender Wage Gap in Bangladesh,2015,2,2
A Double Standard? Gender Bias in Voters' Perceptions of Political Arguments,1.0,0.0,1,1,0,1,0,A Double Standard? Gender Bias in Voters' Perceptions of Political Arguments,2022,1,1
A Feminist Discourse Analysis of Writer's Gender Biases about Violence Against Women,0.5,0.5,2,1,1,1,1,A Feminist Discourse Analysis of Writer's Gender Biases about Violence Against Women,2021,2,2
A Feminist Quality Appraisal Tool: exposing gender bias and gender inequities in health research,1.0,0.0,3,3,0,1,0,A Feminist Quality Appraisal Tool: exposing gender bias and gender inequities in health research,2017,3,3
A Feminist Review of Behavioral Economic Research on Gender Differences,1.0,0.0,2,2,0,1,0,A Feminist Review of Behavioral Economic Research on Gender Differences,2018,2,2
A Focused Review of Gender Differences in Antithrombotic Therapy,0.25,0.75,4,1,3,1,1,A Focused Review of Gender Differences in Antithrombotic Therapy,2017,4,4
A Gender Bias Habit-Breaking Intervention Led to Increased Hiring of Female Faculty in STEMM Departments,0.67,0.33,6,4,2,1,1,A Gender Bias Habit-Breaking Intervention Led to Increased Hiring of Female Faculty in STEMM Departments,2017,5-10,5-10
A Gender Bias in the Acoustic-Melodic Features of Charismatic Speech?,0.67,0.33,3,2,1,1,1,A Gender Bias in the Acoustic-Melodic Features of Charismatic Speech?,2017,3,3
A Gender Bias in the Attribution of Creativity,0.33,0.67,3,1,2,1,1,A Gender Bias in the Attribution of Creativity,2015,3,3
A Gender Biased Perspective of Business Education in the 19th and 20th Centuries,1.0,0.0,1,1,0,1,0,A Gender Biased Perspective of Business Education in the 19th and 20th Centuries,2012,1,1
A Gender Gap in Party Congruence and Responsiveness?,0.0,1.0,1,0,1,0,1,A Gender Gap in Party Congruence and Responsiveness?,2020,1,1
A Gender Gap in Policy Representation in the U.S. Congress,0.33,0.67,3,1,2,1,1,A Gender Gap in Policy Representation in the U.S. Congress,2012,3,3
A Gender Gap in Publishing? Understanding the Glass Ceiling in Pediatric Orthopaedic Surgery,0.5,0.5,6,3,3,1,1,A Gender Gap in Publishing? Understanding the Glass Ceiling in Pediatric Orthopaedic Surgery,2021,5-10,5-10
A Gender-Biased Definition: Unintended Impacts of the Fear Requirement in Stalking Victimization,1.0,0.0,1,1,0,1,0,A Gender-Biased Definition: Unintended Impacts of the Fear Requirement in Stalking Victimization,2017,1,1
A Gender-Biased Definition: Unintended Impacts of the Fear Requirement in Stalking Victimization:,1.0,0.0,1,1,0,1,0,A Gender-Biased Definition: Unintended Impacts of the Fear Requirement in Stalking Victimization:,2017,1,1
A Global Survey on the Perceptions and Impacts of Gender Inequality in the Earth and Space Sciences,0.6,0.4,5,3,2,1,1,A Global Survey on the Perceptions and Impacts of Gender Inequality in the Earth and Space Sciences,2019,5-10,5-10
"A Goal Congruity Model of Role Entry, Engagement, and Exit: Understanding Communal Goal Processes in STEM Gender Gaps",1.0,0.0,5,5,0,1,0,"A Goal Congruity Model of Role Entry, Engagement, and Exit: Understanding Communal Goal Processes in STEM Gender Gaps",2017,5-10,5-10
"A Historical Perspective on Gender Inequality and Development in the World Economy, c. 1850-2000",1.0,0.0,1,1,0,1,0,"A Historical Perspective on Gender Inequality and Development in the World Economy, c. 1850-2000",2015,1,1
A Hypothesis of Gender Differences in Self-Reporting Symptom of Depression: Implications to Solve Under-Diagnosis and Under-Treatment of Depression in Males,0.83,0.17,6,5,1,1,1,A Hypothesis of Gender Differences in Self-Reporting Symptom of Depression: Implications to Solve Under-Diagnosis and Under-Treatment of Depression in Males,2021,5-10,5-10
A Hypothetical Approach on Gender Differences in Cancer Diagnosis,1.0,0.0,1,1,0,1,0,A Hypothetical Approach on Gender Differences in Cancer Diagnosis,2019,1,1
A Japanese gender-biased welfare state,1.0,0.0,1,1,0,1,0,A Japanese gender-biased welfare state,2020,1,1
A Just Gender Pay Gap? Three Factorial Survey Studies on Justice Evaluations of Earnings for Male and Female Employees,0.0,1.0,1,0,1,0,1,A Just Gender Pay Gap? Three Factorial Survey Studies on Justice Evaluations of Earnings for Male and Female Employees,2014,1,1
A Large-Scale Test of Gender Bias in the Media,0.0,1.0,3,0,3,0,1,A Large-Scale Test of Gender Bias in the Media,2019,3,3
A Learning Experience? Enjoyment at Sexual Debut and the Gender Gap in Sexual Desire among Emerging Adults,0.8,0.2,5,4,1,1,1,A Learning Experience? Enjoyment at Sexual Debut and the Gender Gap in Sexual Desire among Emerging Adults,2022,5-10,5-10
A Life Course Perspective on Gender Differences in Cognitive Functioning in India,1.0,0.0,2,2,0,1,0,A Life Course Perspective on Gender Differences in Cognitive Functioning in India,2014,2,2
A Light-Weight Strategy for Restraining Gender Biases in Neural Rankers,0.4,0.6,5,2,3,1,1,A Light-Weight Strategy for Restraining Gender Biases in Neural Rankers,2022,5-10,5-10
A Lightweight Intervention to Decrease Gender Bias in Student Evaluations of Teaching,1.0,0.0,3,3,0,1,0,A Lightweight Intervention to Decrease Gender Bias in Student Evaluations of Teaching,2020,3,3
A Linguistics Perspective on Feminisation and Gender-Inclusive Language How Partitive Constructions Can Be Used to Uncover Implicit Gender Bias in Italian,1.0,0.0,1,1,0,1,0,A Linguistics Perspective on Feminisation and Gender-Inclusive Language How Partitive Constructions Can Be Used to Uncover Implicit Gender Bias in Italian,2022,1,1
A Longitudinal Study of Relational Aggression and Victimisation in Early Adolescence: Gender Differences in the Moderating Effects of Social Status,1.0,0.0,2,2,0,1,0,A Longitudinal Study of Relational Aggression and Victimisation in Early Adolescence: Gender Differences in the Moderating Effects of Social Status,2016,2,2
A Longitudinal Study of Sexual Entitlement and Self-Efficacy among Young Women and Men: Gender Differences and Associations with Age and Sexual Experience,1.0,0.0,3,3,0,1,0,A Longitudinal Study of Sexual Entitlement and Self-Efficacy among Young Women and Men: Gender Differences and Associations with Age and Sexual Experience,2016,3,3
"A Macroeconomic Analysis of the Effects of Gender Inequality, Wages, and Public Social Infrastructure: The Case of the UK",0.67,0.33,3,2,1,1,1,"A Macroeconomic Analysis of the Effects of Gender Inequality, Wages, and Public Social Infrastructure: The Case of the UK",2022,3,3
A Marriage-Market Perspective of the College Gender Gap,0.0,1.0,1,0,1,0,1,A Marriage-Market Perspective of the College Gender Gap,2016,1,1
A Meta-Analysis of Facebook-Assisted Learning Outcomes and Their Gender Differences,0.0,1.0,2,0,2,0,1,A Meta-Analysis of Facebook-Assisted Learning Outcomes and Their Gender Differences,2021,2,2
A Meta-Analysis of Gender Differences in Subjective Well-Being: Estimating Effect Sizes and Associations With Gender Inequality,0.5,0.5,4,2,2,1,1,A Meta-Analysis of Gender Differences in Subjective Well-Being: Estimating Effect Sizes and Associations With Gender Inequality,2018,4,4
A Meta-Analysis of Gender Differences in Terms of Teacher Views on the Instructional Leadership Behavior of Principals,0.0,1.0,1,0,1,0,1,A Meta-Analysis of Gender Differences in Terms of Teacher Views on the Instructional Leadership Behavior of Principals,2014,1,1
"A Meta-Analysis of Gender Differences in e-Learners' Self-Efficacy, Satisfaction, Motivation, Attitude, and Performance Across the World",0.5,0.5,2,1,1,1,1,"A Meta-Analysis of Gender Differences in e-Learners' Self-Efficacy, Satisfaction, Motivation, Attitude, and Performance Across the World",2022,2,2
A Meta-Analysis of Online Learning Outcomes and Their Gender Differences,0.0,1.0,2,0,2,0,1,A Meta-Analysis of Online Learning Outcomes and Their Gender Differences,2021,2,2
A Meta-Analysis of Thyroid-Related Traits Reveals Novel Loci and Gender-Specific Differences in the Regulation of Thyroid Function,0.38,0.62,16,6,10,1,1,A Meta-Analysis of Thyroid-Related Traits Reveals Novel Loci and Gender-Specific Differences in the Regulation of Thyroid Function,2013,11-20,11-20
A Meta-Analysis on Gender Differences in Mental Rotation Ability Measured by the Purdue Spatial Visualization Tests: Visualization of Rotations (PSVT:R),1.0,0.0,2,2,0,1,0,A Meta-Analysis on Gender Differences in Mental Rotation Ability Measured by the Purdue Spatial Visualization Tests: Visualization of Rotations (PSVT:R),2012,2,2
A Meta-analysis of the Gender Gap in Performance in Collegiate Economics Courses,1.0,0.0,3,3,0,1,0,A Meta-analysis of the Gender Gap in Performance in Collegiate Economics Courses,2012,3,3
A Missed Opportunity to Discuss Racial and Gender Bias in Dermatology,0.33,0.67,3,1,2,1,1,A Missed Opportunity to Discuss Racial and Gender Bias in Dermatology,2017,3,3
A Missed Opportunity to Discuss Racial and Gender Bias in Dermatology-Reply,0.0,1.0,3,0,3,0,1,A Missed Opportunity to Discuss Racial and Gender Bias in Dermatology-Reply,2017,3,3
