,Title,Year,Author,PublicationType,CitationCount,URL
65,Emotions in context: Anger causes ethnic bias but not gender bias in men but not women,2012,A. Little,,11,https://www.semanticscholar.org/paper/92df9e16f5008947b9a01796c8df45884a7bfe48
78,"He, she, it: gender bias in teacher–student interaction at university",2012,M. Bartulović,['Review'],1,https://www.semanticscholar.org/paper/c2d7631c13fba45b6a7eca2ef3cfa6562badb977
97,Outlay Equivalence Analysis of Child Gender Bias in Household Expenditure Data,2012,Z. Parpiev,['Review'],4,https://www.semanticscholar.org/paper/5ecb66b29426504eeede3e0afd7506315526c13c
99,Outlay Equivalence Analysis of Child Gender Bias in Household Expenditure Data,2012,N. Yusupov,['Review'],4,https://www.semanticscholar.org/paper/5ecb66b29426504eeede3e0afd7506315526c13c
101,Gender Bias Undermines Evidence on Gender and Health,2012,D. Polit,['LettersAndComments'],9,https://www.semanticscholar.org/paper/bbad3afe7b4cf49d515547c149455563b471fc32
105,Quality of pharmaceutical advertising and gender bias in medical journals (1998-2008): a review of the scientific literature.,2012,M. T. Ruiz Cantero,"['Review', 'JournalArticle']",10,https://www.semanticscholar.org/paper/b1732be98e58261a7e34f1c31e6a4109112c5e8c
109,Quality of pharmaceutical advertising and gender bias in medical journals (1998-2008): a review of the scientific literature,2012,M. T. R. Cantero,['Review'],7,https://www.semanticscholar.org/paper/22c8da4e95f333c4c9a64822fd5db9d5667dc515
114,News: “Gender Bias May Account for Auditory Comprehension Differences”,2012,John S. Phillips,,0,https://www.semanticscholar.org/paper/236d56dc3ac09b932ab8f828d2ad9be1868b8dc0
116,News: “Gender Bias May Account for Auditory Comprehension Differences”,2012,D. Currie,,0,https://www.semanticscholar.org/paper/236d56dc3ac09b932ab8f828d2ad9be1868b8dc0
117,News: “Gender Bias May Account for Auditory Comprehension Differences”,2012,Richard A. Parker,,0,https://www.semanticscholar.org/paper/236d56dc3ac09b932ab8f828d2ad9be1868b8dc0
118,News: “Gender Bias May Account for Auditory Comprehension Differences”,2012,B. Westerberg,,0,https://www.semanticscholar.org/paper/236d56dc3ac09b932ab8f828d2ad9be1868b8dc0
126,The Web Index: gender bias findings from the Rating Scale model,2012,A. Paola,,3,https://www.semanticscholar.org/paper/e8a39a2a06b21e86243a7229f47b5f7f4ead2c1f
133,Abstract 439: Gender Bias in Prehospital Chest Pain Management: Do female Paramedics Under-treat patients With Chest Pain?,2012,N. E. Sanadi,['Review'],0,https://www.semanticscholar.org/paper/ed0129b344cd37a13bf6361bb270949993ab77f3
135,Abstract 439: Gender Bias in Prehospital Chest Pain Management: Do female Paramedics Under-treat patients With Chest Pain?,2012,D. Erdman,['Review'],0,https://www.semanticscholar.org/paper/ed0129b344cd37a13bf6361bb270949993ab77f3
136,Abstract 439: Gender Bias in Prehospital Chest Pain Management: Do female Paramedics Under-treat patients With Chest Pain?,2012,J. Mansour,['Review'],0,https://www.semanticscholar.org/paper/ed0129b344cd37a13bf6361bb270949993ab77f3
137,Abstract 439: Gender Bias in Prehospital Chest Pain Management: Do female Paramedics Under-treat patients With Chest Pain?,2012,G. Thornton,['Review'],0,https://www.semanticscholar.org/paper/ed0129b344cd37a13bf6361bb270949993ab77f3
144,Offering gender bias in engineering: Gender equity internet controlled fish farm curriculum activity,2012,R. E. Boyles,,1,https://www.semanticscholar.org/paper/715892e58719cfa68c32440b0acc3c31b5b09331
145,Offering gender bias in engineering: Gender equity internet controlled fish farm curriculum activity,2012,O. Lawanto,,1,https://www.semanticscholar.org/paper/715892e58719cfa68c32440b0acc3c31b5b09331
156,Do obesity and gender bias implicit multi-cue learning performance?,2012,D. Mathar,,0,https://www.semanticscholar.org/paper/4065c6ab28337a2e69a945df086bd402ecb790b6
157,Do obesity and gender bias implicit multi-cue learning performance?,2012,J. Neumann,,0,https://www.semanticscholar.org/paper/4065c6ab28337a2e69a945df086bd402ecb790b6
158,Do obesity and gender bias implicit multi-cue learning performance?,2012,B. Pleger,,0,https://www.semanticscholar.org/paper/4065c6ab28337a2e69a945df086bd402ecb790b6
159,Do obesity and gender bias implicit multi-cue learning performance?,2012,A. Villringer,,0,https://www.semanticscholar.org/paper/4065c6ab28337a2e69a945df086bd402ecb790b6
169,Gender Bias in Schooling,2012,M. Milligan,,0,https://www.semanticscholar.org/paper/6e85e33cf1e90381389c5a42c18352161a7b7dd6
171,How financial conflicts of interest in the DSM reinforce gender bias in psychiatric taxonomy,2012,Emily E. Wheeler,,0,https://www.semanticscholar.org/paper/6ccb011868be61b0932f43d8055d0f5b1cf16091
179,Corporate Board Gender Diversity and Stock Performance: The Competence Gap or Institutional Investor Bias?,2012,F. Dobbin,,249,https://www.semanticscholar.org/paper/d58a336c4a7a6325eb621256b8fe94e484b46f48
195,Age and gender differences in depression across adolescence: real or 'bias'?,2012,Y. van Beek,"['JournalArticle', 'Study']",39,https://www.semanticscholar.org/paper/edeece6a80221e87ba77dd30f56c8e687f95473a
196,Age and gender differences in depression across adolescence: real or 'bias'?,2012,D. Hessen,"['JournalArticle', 'Study']",39,https://www.semanticscholar.org/paper/edeece6a80221e87ba77dd30f56c8e687f95473a
197,Age and gender differences in depression across adolescence: real or 'bias'?,2012,R. Hutteman,"['JournalArticle', 'Study']",39,https://www.semanticscholar.org/paper/edeece6a80221e87ba77dd30f56c8e687f95473a
198,Age and gender differences in depression across adolescence: real or 'bias'?,2012,E. Verhulp,"['JournalArticle', 'Study']",39,https://www.semanticscholar.org/paper/edeece6a80221e87ba77dd30f56c8e687f95473a
200,"Who’s funny: Gender stereotypes, humor production, and memory bias",2012,L. Mickes,['JournalArticle'],48,https://www.semanticscholar.org/paper/dbcea29c72e5a9d5a7021f2aff909062c3d5a20c
201,"Who’s funny: Gender stereotypes, humor production, and memory bias",2012,D. Walker,['JournalArticle'],48,https://www.semanticscholar.org/paper/dbcea29c72e5a9d5a7021f2aff909062c3d5a20c
204,"Who’s funny: Gender stereotypes, humor production, and memory bias",2012,N. Christenfeld,['JournalArticle'],48,https://www.semanticscholar.org/paper/dbcea29c72e5a9d5a7021f2aff909062c3d5a20c
235,Gender identification bias induced with texture images on a life size retro-projected face screen,2012,T. Kuratate,['JournalArticle'],5,https://www.semanticscholar.org/paper/02d8fa754908163bfba502a33e08c0c0567d0e2a
237,Gender identification bias induced with texture images on a life size retro-projected face screen,2012,B. Pierce,['JournalArticle'],5,https://www.semanticscholar.org/paper/02d8fa754908163bfba502a33e08c0c0567d0e2a
238,Gender identification bias induced with texture images on a life size retro-projected face screen,2012,G. Cheng,['JournalArticle'],5,https://www.semanticscholar.org/paper/02d8fa754908163bfba502a33e08c0c0567d0e2a
256,Gender and racial bias in drug promotional material distributed by pharmaceutical companies,2012,P. Yadav,['JournalArticle'],4,https://www.semanticscholar.org/paper/590ef47f21aca7f0af85eb3e53fafd035ab2e4e7
257,Gender and racial bias in drug promotional material distributed by pharmaceutical companies,2012,N. Kantharia,['JournalArticle'],4,https://www.semanticscholar.org/paper/590ef47f21aca7f0af85eb3e53fafd035ab2e4e7
258,Gender and racial bias in drug promotional material distributed by pharmaceutical companies,2012,D. Saxena,['JournalArticle'],4,https://www.semanticscholar.org/paper/590ef47f21aca7f0af85eb3e53fafd035ab2e4e7
270,Gender Differences in Food Choice and Dietary Intake in Modern Western Societies,2012,C. Arganini,,171,https://www.semanticscholar.org/paper/cfabe991805dd96b4e82d5fdf35ed8d0a4bb7fe9
271,Gender Differences in Food Choice and Dietary Intake in Modern Western Societies,2012,A. Saba,,171,https://www.semanticscholar.org/paper/cfabe991805dd96b4e82d5fdf35ed8d0a4bb7fe9
273,Gender Differences in Food Choice and Dietary Intake in Modern Western Societies,2012,F. Virgili,,171,https://www.semanticscholar.org/paper/cfabe991805dd96b4e82d5fdf35ed8d0a4bb7fe9
274,Gender Differences in Food Choice and Dietary Intake in Modern Western Societies,2012,A. Turrini,,171,https://www.semanticscholar.org/paper/cfabe991805dd96b4e82d5fdf35ed8d0a4bb7fe9
283,The Possible Role of Resource Requirements and Academic Career-Choice Risk on Gender Differences in Publication Rate and Impact,2012,J. Duch,['JournalArticle'],181,https://www.semanticscholar.org/paper/20262c6dc728588641fef3648a7dba6b7abf9053
284,The Possible Role of Resource Requirements and Academic Career-Choice Risk on Gender Differences in Publication Rate and Impact,2012,X. Zeng,['JournalArticle'],181,https://www.semanticscholar.org/paper/20262c6dc728588641fef3648a7dba6b7abf9053
285,The Possible Role of Resource Requirements and Academic Career-Choice Risk on Gender Differences in Publication Rate and Impact,2012,M. Sales-Pardo,['JournalArticle'],181,https://www.semanticscholar.org/paper/20262c6dc728588641fef3648a7dba6b7abf9053
286,The Possible Role of Resource Requirements and Academic Career-Choice Risk on Gender Differences in Publication Rate and Impact,2012,F. Radicchi,['JournalArticle'],181,https://www.semanticscholar.org/paper/20262c6dc728588641fef3648a7dba6b7abf9053
288,The Possible Role of Resource Requirements and Academic Career-Choice Risk on Gender Differences in Publication Rate and Impact,2012,T. Woodruff,['JournalArticle'],181,https://www.semanticscholar.org/paper/20262c6dc728588641fef3648a7dba6b7abf9053
289,The Possible Role of Resource Requirements and Academic Career-Choice Risk on Gender Differences in Publication Rate and Impact,2012,L. A. N. Amaral,['JournalArticle'],181,https://www.semanticscholar.org/paper/20262c6dc728588641fef3648a7dba6b7abf9053
315,Gender Differences in Initiation of Negotiation: Does the Gender of the Negotiation Counterpart Matter?,2012,K. Eriksson,,62,https://www.semanticscholar.org/paper/05e53de5990b83980fe53ac1145c19b50e1a7149
383,Liquid Chromatography-Tandem Mass Spectrometry Assay to Detect Ethyl Glucuronide in Human Fingernail: Comparison to Hair and Gender Differences.,2012,Mary R. Jones,['JournalArticle'],37,https://www.semanticscholar.org/paper/92e20a3d0fb83fa44e953970a6df7a5f78d6b148
384,Liquid Chromatography-Tandem Mass Spectrometry Assay to Detect Ethyl Glucuronide in Human Fingernail: Comparison to Hair and Gender Differences.,2012,C. Plate,['JournalArticle'],37,https://www.semanticscholar.org/paper/92e20a3d0fb83fa44e953970a6df7a5f78d6b148
385,Liquid Chromatography-Tandem Mass Spectrometry Assay to Detect Ethyl Glucuronide in Human Fingernail: Comparison to Hair and Gender Differences.,2012,D. Lewis,['JournalArticle'],37,https://www.semanticscholar.org/paper/92e20a3d0fb83fa44e953970a6df7a5f78d6b148
386,Liquid Chromatography-Tandem Mass Spectrometry Assay to Detect Ethyl Glucuronide in Human Fingernail: Comparison to Hair and Gender Differences.,2012,M. Fendrich,['JournalArticle'],37,https://www.semanticscholar.org/paper/92e20a3d0fb83fa44e953970a6df7a5f78d6b148
387,Liquid Chromatography-Tandem Mass Spectrometry Assay to Detect Ethyl Glucuronide in Human Fingernail: Comparison to Hair and Gender Differences.,2012,Lisa K. Berger,['JournalArticle'],37,https://www.semanticscholar.org/paper/92e20a3d0fb83fa44e953970a6df7a5f78d6b148
406,The ethical nursing care of transgender patients: an exploration of bias in health care and how it affects this population.,2012,P. Grace,['JournalArticle'],27,https://www.semanticscholar.org/paper/b80c3329af15713c31cd546bca2567a5722685f5
407,Gender differences in UV-induced inflammation and immunosuppression in mice reveal male unresponsiveness to UVA radiation,2012,V. Reeve,['JournalArticle'],29,https://www.semanticscholar.org/paper/f4099affd8676abd8c3b3eb85071f268a88ed089
408,Gender differences in UV-induced inflammation and immunosuppression in mice reveal male unresponsiveness to UVA radiation,2012,M. Allanson,['JournalArticle'],29,https://www.semanticscholar.org/paper/f4099affd8676abd8c3b3eb85071f268a88ed089
431,Gender Differences in Associations of Sexual and Romantic Stimuli: Do Young Men Really Prefer Sex over Romance?,2012,A. E. Thompson,['JournalArticle'],23,https://www.semanticscholar.org/paper/0634bd7c3f15df87f9d977cc9f99eef2a9afe1c0
449,Gender difference in ethical abilities of dental students.,2012,M. Bebeau,"['JournalArticle', 'Review']",19,https://www.semanticscholar.org/paper/bed655eae828ec807698951ebf2a5b5531aed08d
465,Molecular Evidence for Gender Differences in the Migratory Behaviour of a Small Seabird,2012,R. King,['JournalArticle'],18,https://www.semanticscholar.org/paper/49ad30d30d1d7b8620adb60b1f291b7e1e095e9a
466,Molecular Evidence for Gender Differences in the Migratory Behaviour of a Small Seabird,2012,W. Symondson,['JournalArticle'],18,https://www.semanticscholar.org/paper/49ad30d30d1d7b8620adb60b1f291b7e1e095e9a
467,Molecular Evidence for Gender Differences in the Migratory Behaviour of a Small Seabird,2012,B. Cadiou,['JournalArticle'],18,https://www.semanticscholar.org/paper/49ad30d30d1d7b8620adb60b1f291b7e1e095e9a
468,Molecular Evidence for Gender Differences in the Migratory Behaviour of a Small Seabird,2012,B. Zonfrillo,['JournalArticle'],18,https://www.semanticscholar.org/paper/49ad30d30d1d7b8620adb60b1f291b7e1e095e9a
469,Molecular Evidence for Gender Differences in the Migratory Behaviour of a Small Seabird,2012,M. Bolton,['JournalArticle'],18,https://www.semanticscholar.org/paper/49ad30d30d1d7b8620adb60b1f291b7e1e095e9a
472,Molecular Evidence for Gender Differences in the Migratory Behaviour of a Small Seabird,2012,A. Clinton,['JournalArticle'],18,https://www.semanticscholar.org/paper/49ad30d30d1d7b8620adb60b1f291b7e1e095e9a
473,Molecular Evidence for Gender Differences in the Migratory Behaviour of a Small Seabird,2012,M. Felgueiras,['JournalArticle'],18,https://www.semanticscholar.org/paper/49ad30d30d1d7b8620adb60b1f291b7e1e095e9a
474,Molecular Evidence for Gender Differences in the Migratory Behaviour of a Small Seabird,2012,R. J. Thomas,['JournalArticle'],18,https://www.semanticscholar.org/paper/49ad30d30d1d7b8620adb60b1f291b7e1e095e9a
476,"Climate Change, Gender and Natural Disasters: Social Differences and Environment-Related Victimisation",2012,D. Heckenberg,,10,https://www.semanticscholar.org/paper/cea3ed51b0a50d89138dbda16e1cf50290b866b9
529,Detecting Gender Biasness via Gender Differential Item Functioning Analysis on Integrated Meaningful Hybrid E-learning Instrument,2012,M. Hasrul Kamarulzaman,['Review'],5,https://www.semanticscholar.org/paper/47349d060161d67879af4a79ca25cc6fb980c35d
530,Detecting Gender Biasness via Gender Differential Item Functioning Analysis on Integrated Meaningful Hybrid E-learning Instrument,2012,H. Norman,['Review'],5,https://www.semanticscholar.org/paper/47349d060161d67879af4a79ca25cc6fb980c35d
531,Detecting Gender Biasness via Gender Differential Item Functioning Analysis on Integrated Meaningful Hybrid E-learning Instrument,2012,Parilah M. Shah,['Review'],5,https://www.semanticscholar.org/paper/47349d060161d67879af4a79ca25cc6fb980c35d
532,Detecting Gender Biasness via Gender Differential Item Functioning Analysis on Integrated Meaningful Hybrid E-learning Instrument,2012,A. A. Karim,['Review'],5,https://www.semanticscholar.org/paper/47349d060161d67879af4a79ca25cc6fb980c35d
533,Detecting Gender Biasness via Gender Differential Item Functioning Analysis on Integrated Meaningful Hybrid E-learning Instrument,2012,N. Johar,['Review'],5,https://www.semanticscholar.org/paper/47349d060161d67879af4a79ca25cc6fb980c35d
652,Gender Biases and Evaluations : The Moderating Effect of Performance Level,2012,Miranda L. Abild,,0,https://www.semanticscholar.org/paper/7872279db31388d7d3361dbbb7f22a42cb17afca
663,Gender and career Choice Differences on Bakare Vocational Interest Inventory: Implications for Vocational Counseling In Nigeria,2012,A. Ucheagwu,['Review'],0,https://www.semanticscholar.org/paper/2f009b0a483bd9773d2fe9cb835408e8faadefd9
664,Gender and career Choice Differences on Bakare Vocational Interest Inventory: Implications for Vocational Counseling In Nigeria,2012,C. C. Nweke,['Review'],0,https://www.semanticscholar.org/paper/2f009b0a483bd9773d2fe9cb835408e8faadefd9
665,Gender and career Choice Differences on Bakare Vocational Interest Inventory: Implications for Vocational Counseling In Nigeria,2012,C. O. Anazonwu,['Review'],0,https://www.semanticscholar.org/paper/2f009b0a483bd9773d2fe9cb835408e8faadefd9
666,Gender and career Choice Differences on Bakare Vocational Interest Inventory: Implications for Vocational Counseling In Nigeria,2012,R. Ugokwe-Ossai,['Review'],0,https://www.semanticscholar.org/paper/2f009b0a483bd9773d2fe9cb835408e8faadefd9
878,Are female and male entrepreneurs equally innovative? Reducing the genderbias of operationalizations and industries studied,2012,C. Wigren,,20,https://www.semanticscholar.org/paper/bfb14f22bfa293faddee95c0f05258301537ce7b
1240,Race is gendered: how covarying phenotypes and stereotypes bias sex categorization.,2012,Kerri L. Johnson,['JournalArticle'],266,https://www.semanticscholar.org/paper/0d7db586edb9f3700d9ee08b30387ad49a239d6a
1241,Race is gendered: how covarying phenotypes and stereotypes bias sex categorization.,2012,J. Freeman,['JournalArticle'],266,https://www.semanticscholar.org/paper/0d7db586edb9f3700d9ee08b30387ad49a239d6a
1259,"Heritability, Assortative Mating and Gender Differences in Violent Crime: Results from a Total Population Sample Using Twin, Adoption, and Sibling Models",2012,T. Frisell,"['Study', 'JournalArticle']",75,https://www.semanticscholar.org/paper/148c2258f1383c59d6c9a9916176b840ce8a773a
1260,"Heritability, Assortative Mating and Gender Differences in Violent Crime: Results from a Total Population Sample Using Twin, Adoption, and Sibling Models",2012,Y. Pawitan,"['Study', 'JournalArticle']",75,https://www.semanticscholar.org/paper/148c2258f1383c59d6c9a9916176b840ce8a773a
1262,"Heritability, Assortative Mating and Gender Differences in Violent Crime: Results from a Total Population Sample Using Twin, Adoption, and Sibling Models",2012,P. Lichtenstein,"['Study', 'JournalArticle']",75,https://www.semanticscholar.org/paper/148c2258f1383c59d6c9a9916176b840ce8a773a
1276,Gender Differences in the Perceived Effectiveness of Narcissistic Leaders,2012,Annebel H. B. De Hoogh,,52,https://www.semanticscholar.org/paper/f95e90f2f99d68d5cb38f5550ca1a8b92aa4a746
1277,Gender Differences in the Perceived Effectiveness of Narcissistic Leaders,2012,D. N. Hartog,,52,https://www.semanticscholar.org/paper/f95e90f2f99d68d5cb38f5550ca1a8b92aa4a746
1315,Gender differences in Latin-American patients with rheumatoid arthritis.,2012,J. Amaya-Amaya,"['Review', 'JournalArticle']",41,https://www.semanticscholar.org/paper/ef88591801ba2142830ff35a4e4d6793c5e5be8f
1316,Gender differences in Latin-American patients with rheumatoid arthritis.,2012,R. Pineda-Tamayo,"['Review', 'JournalArticle']",41,https://www.semanticscholar.org/paper/ef88591801ba2142830ff35a4e4d6793c5e5be8f
1317,Gender differences in Latin-American patients with rheumatoid arthritis.,2012,R. Mantilla,"['Review', 'JournalArticle']",41,https://www.semanticscholar.org/paper/ef88591801ba2142830ff35a4e4d6793c5e5be8f
1318,Gender differences in Latin-American patients with rheumatoid arthritis.,2012,J. Castellanos-de la Hoz,"['Review', 'JournalArticle']",41,https://www.semanticscholar.org/paper/ef88591801ba2142830ff35a4e4d6793c5e5be8f
1319,Gender differences in Latin-American patients with rheumatoid arthritis.,2012,S. Bernal-Macías,"['Review', 'JournalArticle']",41,https://www.semanticscholar.org/paper/ef88591801ba2142830ff35a4e4d6793c5e5be8f
1320,Gender differences in Latin-American patients with rheumatoid arthritis.,2012,A. Rojas-Villarraga,"['Review', 'JournalArticle']",41,https://www.semanticscholar.org/paper/ef88591801ba2142830ff35a4e4d6793c5e5be8f
1321,Gender differences in Latin-American patients with rheumatoid arthritis.,2012,J. Anaya,"['Review', 'JournalArticle']",41,https://www.semanticscholar.org/paper/ef88591801ba2142830ff35a4e4d6793c5e5be8f
1322,Knowledge work: gender-blind or gender-biased?,2012,C. Truss,['JournalArticle'],35,https://www.semanticscholar.org/paper/21c328f331a00ded8f1cf9873de46a8226391eeb
1323,Knowledge work: gender-blind or gender-biased?,2012,E. Conway,['JournalArticle'],35,https://www.semanticscholar.org/paper/21c328f331a00ded8f1cf9873de46a8226391eeb
1325,Knowledge work: gender-blind or gender-biased?,2012,G. Kelly,['JournalArticle'],35,https://www.semanticscholar.org/paper/21c328f331a00ded8f1cf9873de46a8226391eeb
1328,Knowledge work: gender-blind or gender-biased?,2012,P. Flood,['JournalArticle'],35,https://www.semanticscholar.org/paper/21c328f331a00ded8f1cf9873de46a8226391eeb
1329,Low testosterone concentrations in men contribute to the gender gap in cardiovascular morbidity and mortality.,2012,R. Haring,['JournalArticle'],35,https://www.semanticscholar.org/paper/a5e4de56e9ec6025397f1d115702882719c88f41
1330,Low testosterone concentrations in men contribute to the gender gap in cardiovascular morbidity and mortality.,2012,U. John,['JournalArticle'],35,https://www.semanticscholar.org/paper/a5e4de56e9ec6025397f1d115702882719c88f41
1332,Low testosterone concentrations in men contribute to the gender gap in cardiovascular morbidity and mortality.,2012,M. Nauck,['JournalArticle'],35,https://www.semanticscholar.org/paper/a5e4de56e9ec6025397f1d115702882719c88f41
1334,Low testosterone concentrations in men contribute to the gender gap in cardiovascular morbidity and mortality.,2012,S. Felix,['JournalArticle'],35,https://www.semanticscholar.org/paper/a5e4de56e9ec6025397f1d115702882719c88f41
1335,Low testosterone concentrations in men contribute to the gender gap in cardiovascular morbidity and mortality.,2012,H. Wallaschofski,['JournalArticle'],35,https://www.semanticscholar.org/paper/a5e4de56e9ec6025397f1d115702882719c88f41
1346,Race and Gender Differences Under Federal Sentencing Guidelines,2012,R. Oaxaca,,19,https://www.semanticscholar.org/paper/7fbe13bf6abb967941e42399fd128c6015877b63
1397,The Gender Wage Gap in the Post-Apartheid South African Labour Market,2012,H. Bhorat,,9,https://www.semanticscholar.org/paper/f27b78474026723b8491a9dd3e54230f10f99238
1422,A decomposition approach to analysing racial and gender biases in Farm Service Agency's lending decisions,2012,C. Escalante,,7,https://www.semanticscholar.org/paper/dbd10f190dd30ea3052ea9e4b36ad7281a422d4a
1423,A decomposition approach to analysing racial and gender biases in Farm Service Agency's lending decisions,2012,L. Gunter,,7,https://www.semanticscholar.org/paper/dbd10f190dd30ea3052ea9e4b36ad7281a422d4a
1424,A decomposition approach to analysing racial and gender biases in Farm Service Agency's lending decisions,2012,J. Epperson,,7,https://www.semanticscholar.org/paper/dbd10f190dd30ea3052ea9e4b36ad7281a422d4a
1434,Gender differences in questions asked in an online preoperative patient education program.,2012,Colleen S. Thomas,['JournalArticle'],13,https://www.semanticscholar.org/paper/29cf3b960c2d3cd41e24b518a412fa7692c732f4
1435,Gender differences in questions asked in an online preoperative patient education program.,2012,C. Ortiguera,['JournalArticle'],13,https://www.semanticscholar.org/paper/29cf3b960c2d3cd41e24b518a412fa7692c732f4
1594,Vanished gender differences of cardiometabolic risk factors after matching the apnea hypopnea index at postmenopausal age.,2012,H. Ting,['JournalArticle'],2,https://www.semanticscholar.org/paper/9f9248e1e2671c15a1facede86deef53ab0dccd9
1596,Vanished gender differences of cardiometabolic risk factors after matching the apnea hypopnea index at postmenopausal age.,2012,H. Lo,['JournalArticle'],2,https://www.semanticscholar.org/paper/9f9248e1e2671c15a1facede86deef53ab0dccd9
1597,Vanished gender differences of cardiometabolic risk factors after matching the apnea hypopnea index at postmenopausal age.,2012,A. Chung,['JournalArticle'],2,https://www.semanticscholar.org/paper/9f9248e1e2671c15a1facede86deef53ab0dccd9
1613,The Use of A Mental Rotation Task to Assess Narcissism and Gender Biases,2012,Adam J. Barnas,,0,https://www.semanticscholar.org/paper/66229984ba84bc8ba0ec5fe3d02dea2f7f9e4299
1614,The Use of A Mental Rotation Task to Assess Narcissism and Gender Biases,2012,D. Lynch,,0,https://www.semanticscholar.org/paper/66229984ba84bc8ba0ec5fe3d02dea2f7f9e4299
2822,Abstract 13607: Gender Differences in Myocardial Ischemia-Related Symptoms During Transient Balloon Occlusion of the Coronary Artery,2012,A. Tamura,,0,https://www.semanticscholar.org/paper/e4fceb53e65f365a554173fb354da2f54a617b6d
2824,Abstract 13607: Gender Differences in Myocardial Ischemia-Related Symptoms During Transient Balloon Occlusion of the Coronary Artery,2012,S. Naono,,0,https://www.semanticscholar.org/paper/e4fceb53e65f365a554173fb354da2f54a617b6d
2825,Abstract 13607: Gender Differences in Myocardial Ischemia-Related Symptoms During Transient Balloon Occlusion of the Coronary Artery,2012,S. Maeda,,0,https://www.semanticscholar.org/paper/e4fceb53e65f365a554173fb354da2f54a617b6d
2826,Abstract 13607: Gender Differences in Myocardial Ischemia-Related Symptoms During Transient Balloon Occlusion of the Coronary Artery,2012,M. Hino,,0,https://www.semanticscholar.org/paper/e4fceb53e65f365a554173fb354da2f54a617b6d
2828,Abstract 13607: Gender Differences in Myocardial Ischemia-Related Symptoms During Transient Balloon Occlusion of the Coronary Artery,2012,H. Zaizen,,0,https://www.semanticscholar.org/paper/e4fceb53e65f365a554173fb354da2f54a617b6d
2829,Abstract 13607: Gender Differences in Myocardial Ischemia-Related Symptoms During Transient Balloon Occlusion of the Coronary Artery,2012,J. Kadota,,0,https://www.semanticscholar.org/paper/e4fceb53e65f365a554173fb354da2f54a617b6d
